timestamp(ms),Speed_RPM,Error,
"1705049906.109","55.97",,
"1705049906.111",,"44.03",
"1705049906.121","46.7",,
"1705049906.123",,"53.3",
"1705049906.132","46.99",,
"1705049906.134",,"53.01",
"1705049906.144","47.65",,
"1705049906.145",,"52.35",
"1705049906.155","56.31",,
"1705049906.157",,"43.69",
"1705049906.167","53.42",,
"1705049906.168",,"46.58",
"1705049906.178","54.74",,
"1705049906.18",,"45.26",
"1705049906.19","62.5",,
"1705049906.191",,"37.5",
"1705049906.201","57.87",,
"1705049906.203",,"42.13",
"1705049906.213","63.56",,
"1705049906.214",,"36.44",
"1705049906.224","65.1",,
"1705049906.226",,"34.9",
"1705049906.236","60",,
"1705049906.237",,"40",
"1705049906.247","68.18",,
"1705049906.249",,"31.82",
"1705049906.258","56.39",,
"1705049906.26",,"43.61",
"1705049906.271","54.82",,
"1705049906.272",,"45.18",
"1705049906.281","62.6",,
"1705049906.283",,"37.4",
"1705049906.293","52.16",,
"1705049906.295",,"47.84",
"1705049906.305","51.87",,
"1705049906.306",,"48.13",
"1705049906.316","59.15",,
"1705049906.318",,"40.85",
"1705049906.328","49.6",,
"1705049906.329",,"50.4",
"1705049906.339","49.87",,
"1705049906.341",,"50.13",
"1705049906.351","49.87",,
"1705049906.353",,"50.13",
"1705049906.362","57.25",,
"1705049906.364",,"42.75",
"1705049906.374","53.65",,
"1705049906.376",,"46.35",
"1705049906.385","54.03",,
"1705049906.388",,"45.97",
"1705049906.397","60.78",,
"1705049906.398",,"39.22",
"1705049906.408","56.05",,
"1705049906.41",,"43.95",
"1705049906.42","55.89",,
"1705049906.421",,"44.11",
"1705049906.431","62.6",,
"1705049906.433",,"37.4",
"1705049906.443","57.6",,
"1705049906.444",,"42.4",
"1705049906.455","61.27",,
"1705049906.457",,"38.73",
"1705049906.466","61.17",,
"1705049906.468",,"38.83",
"1705049906.477","54.66",,
"1705049906.479",,"45.34",
"1705049906.489","58.5",,
"1705049906.49",,"41.5",
"1705049906.5","58.69",,
"1705049906.503",,"41.31",
"1705049906.511","52.74",,
"1705049906.513",,"47.26",
"1705049906.523","51.72",,
"1705049906.525",,"48.28",
"1705049906.535","56.48",,
"1705049906.537",,"43.52",
"1705049906.546","51.3",,
"1705049906.548",,"48.7",
"1705049906.557","51.72",,
"1705049906.559",,"48.28",
"1705049906.569","54.19",,
"1705049906.571",,"45.81",
"1705049906.58","54.11",,
"1705049906.582",,"45.89",
"1705049906.592","60.29",,
"1705049906.593",,"39.71",
"1705049906.604","56.48",,
"1705049906.605",,"43.52",
"1705049906.615","55.97",,
"1705049906.617",,"44.03",
"1705049906.626","55.97",,
"1705049906.628",,"44.03",
"1705049906.638","57.52",,
"1705049906.64",,"42.48",
"1705049906.649","56.9",,
"1705049906.651",,"43.1",
"1705049906.661","56.22",,
"1705049906.662",,"43.78",
"1705049906.672","60.98",,
"1705049906.674",,"39.02",
"1705049906.684","54.74",,
"1705049906.686",,"45.26",
"1705049906.695","53.65",,
"1705049906.697",,"46.35",
"1705049906.707","58.78",,
"1705049906.709",,"41.22",
"1705049906.719","53.27",,
"1705049906.72",,"46.73",
"1705049906.73","52.3",,
"1705049906.732",,"47.7",
"1705049906.741","53.57",,
"1705049906.743",,"46.43",
"1705049906.753","52.37",,
"1705049906.754",,"47.63",
